rated,variant,speed,status,winner,moves,players.white.user.flair,players.white.user.patron,players.white.rating,players.white.ratingDiff,players.black.user.name,arenaTour.id
True,standard,rapid,resign,white,d4 d5 c4 c6 Nf3 Nf6 Qc2 a6 Bf4 Ne4 Nbd2 Bf5 Nxe4 dxe4 Nh4 e6 Nxf5 exf5 O-O-O Bd6 Bd2 O-O g4 fxg4 Qxe4 Qd7 h3 f5 Qd3 c5 hxg4 cxd4 Qxd4 Be7 Qxd7 Nxd7 gxf5 Ne5 Bg2 Rac8 Bd5+ Kh8 Rxh7+,nature.zebra,True,2941.0,1.0,alesha_kiselev,OkoIc9bm
True,standard,rapid,mate,black,e4 c5 Nf3 d6 c3 Nf6 Bc4 Nc6 d3 g6 Ng5 e6 Be3 h6 Nf3 Bg7 h4 a6 a4 Rb8 Na3 Ng4 Bf4 Nge5 d4 Nxf3+ Qxf3 cxd4 O-O-O O-O cxd4 Nxd4 Rxd4 Bxd4 Bxh6 Bg7 Bg5 Qb6 h5 Qxb2+ Kd1 d5 exd5 exd5 Bxd5 Qa1+ Bc1 Qd4+ Ke1 Bg4 Qb3 Qc3+ Bd2 Rbe8+ Kf1 Qxd2 g3 Re1+ Kg2 Rxh1 hxg6 Qh6 gxf7+ Kh8 Qf3 Qh3#,symbols.trident-emblem,,1900.0,0.0,Unicorn7Love,OkoIc9bm
True,standard,rapid,resign,black,d4 Nf6 Nf3 e6 e3 b6 Bd3 Bb7 Nbd2 d6 Qe2 Nbd7 c3 e5 dxe5 dxe5 e4 a6 O-O Bd6 Nc4 Qe7 Be3 Nxe4 Bxe4 Bxe4 Bg5 Bxf3 Qxf3 e4 Bxe7 exf3 Bxd6 cxd6 Nxd6+ Ke7 Rad1 Ne5 Rfe1 f6 Nc4 Rad8 Rxd8 Rxd8 Nxb6 Kf7 c4 Rd2 Rb1 fxg2 Kxg2 Nd3 Na4 Rxf2+ Kg3 f5 a3 f4+ Kg4 Kf6 Nc3 Ne5+ Kh3 Kf5 b4 g5 Nd1 g4+,,,1778.0,0.0,Unicorn7Love,OkoIc9bm
True,standard,classical,resign,white,d4 d5 c4 e6 g3 Nf6 Bg2 a6 Nd2 Be7 Ngf3 O-O O-O dxc4 Nxc4 b5 Nfe5 Nd5 Na5 Qd6 e4 Nb6 Bf4,nature.zebra,True,2753.0,2.0,orlandokid2009,
False,standard,rapid,outoftime,black,d4 Nf6 Nf3 e6 Bf4 b6 e3 Bb7 Bd3 d6 Nc3 Nbd7 O-O c5 dxc5 Nxc5 Be2 a6 Qd2 Be7 Rad1 e5 Bg3 O-O b4 Nce4 Qd3 b5 h3 Rc8 Nb1 Rc7 Bh2 Qa8 c4 Rxc4 Na3 Rc3 Qb1 Rxa3 Rd3 Rc3 Qd1 Rfc8 Nh4 Rxd3 Bxd3 g6,,,1552.0,,Unicorn7Love,
False,standard,rapid,resign,white,d4 d5,nature.zebra,True,2941.0,,CalculatingOutcomes,
False,standard,rapid,outoftime,black,d4 Nf6 c4 e6 Nc3 Bb4 Nf3 b6 Bg5 Bb7 e3 h6 Bh4 g5 Bg3 Ne4 Qc2 Bxc3+ bxc3 d6 Bd3 f5 Rb1 Nd7 Rg1 Qf6 Nd2 Nxd2 Qxd2 O-O f3 e5 Bf2 c5 d5 e4 Be2 exf3 gxf3 Rae8 h4 Kf7 hxg5 hxg5 Kd1 Ba6 f4 g4 Kc2 Rh8 Rh1 Rxh1 Rxh1 Rh8 Rxh8 Qxh8 e4 Qh2 Qe3 Nf6 exf5 Bc8 Bd3 Qh5 Bg3 Bxf5 Bxf5 Qxf5+ Kd2 Qb1 Qe6+ Kg7 Bh4 Qb2+ Kd3 Qb1+ Kd2 Qxa2+ Kd3 Qb1+ Kd2 Ne4+ Ke2 Qc2+ Ke3 Qxc3+ Kxe4 Qxc4+ Kf5 Qd3+ Kg5 Qh7 Qf6+ Kg8 Qd8+ Kf7,smileys.cat-with-wry-smile,,2176.0,,Unicorn7Love,
False,standard,rapid,draw,,e4 c5 Nf3 d6 d4 cxd4 Nxd4,smileys.beaming-face-with-smiling-eyes,,1980.0,,Unicorn7Love,
False,standard,rapid,draw,,d4 d5 c4 e6 g3 Bb4+ Nd2 dxc4 Bg2 c6 Nf3 b5 O-O Nf6 a4 Bb7 Qc2 a6 b3 cxb3 Nxb3 O-O Rd1 Nbd7,nature.zebra,True,2941.0,,Curiosity52,
False,standard,rapid,draw,,d4 d5,nature.zebra,True,2941.0,,Pomeranets_Artem,
